id,text,num_words,first_pos_tag,entity,is_singleton,previous_words,next_words
27,tali\NN,1,NN,OTHER,True,"['dengan\\IN', 'tali\\NN', 'panjang\\JJ', 'dan\\CC', 'pelatih\\NN', 'yang\\SC', 'mengawasi\\VB', 'mereka\\PRP', 'akan\\MD', 'melepas\\VB']","['begitu\\SC', 'monyet-monyet\\NN', 'kecil\\JJ', 'lain\\JJ', 'mendekat.\\VB', 'Kantor\\NNP', 'berita\\NNP', 'AFP\\NNP', 'melaporkan\\VB', 'stadion\\NN']"
28,monyet-monyet\NN kecil\JJ lain\JJ,3,NN,OTHER|THINGS,True,"['panjang\\JJ', 'dan\\CC', 'pelatih\\NN', 'yang\\SC', 'mengawasi\\VB', 'mereka\\PRP', 'akan\\MD', 'melepas\\VB', 'tali\\NN', 'begitu\\SC']","['mendekat.\\VB', 'Kantor\\NNP', 'berita\\NNP', 'AFP\\NNP', 'melaporkan\\VB', 'stadion\\NN', 'tinju\\NN', 'dan\\CC', 'hockey\\FW', 'mendapatkan\\VB']"
29,Kantor\NNP berita\NNP AFP\NNP,3,NNP,ORGANIZATION|LOCATION,False,"['mengawasi\\VB', 'mereka\\PRP', 'akan\\MD', 'melepas\\VB', 'tali\\NN', 'begitu\\SC', 'monyet-monyet\\NN', 'kecil\\JJ', 'lain\\JJ', 'mendekat.\\VB']","['melaporkan\\VB', 'stadion\\NN', 'tinju\\NN', 'dan\\CC', 'hockey\\FW', 'mendapatkan\\VB', 'perhatian\\NN', 'khusus\\JJ', 'karena\\SC', 'sering\\RB']"
30,tinju\NN,1,NN,OTHER,True,"['begitu\\SC', 'monyet-monyet\\NN', 'kecil\\JJ', 'lain\\JJ', 'mendekat.\\VB', 'Kantor\\NNP', 'berita\\NNP', 'AFP\\NNP', 'melaporkan\\VB', 'stadion\\NN']","['dan\\CC', 'hockey\\FW', 'mendapatkan\\VB', 'perhatian\\NN', 'khusus\\JJ', 'karena\\SC', 'sering\\RB', 'diserbu\\VB', 'monyet.\\NN', 'Monyet\\NN']"
31,hockey\FW,1,FW,OTHER,True,"['kecil\\JJ', 'lain\\JJ', 'mendekat.\\VB', 'Kantor\\NNP', 'berita\\NNP', 'AFP\\NNP', 'melaporkan\\VB', 'stadion\\NN', 'tinju\\NN', 'dan\\CC']","['mendapatkan\\VB', 'perhatian\\NN', 'khusus\\JJ', 'karena\\SC', 'sering\\RB', 'diserbu\\VB', 'monyet.\\NN', 'Monyet\\NN', 'besar\\JJ', 'akan\\MD']"
32,perhatian\NN khusus\JJ,2,NN,OTHER,True,"['mendekat.\\VB', 'Kantor\\NNP', 'berita\\NNP', 'AFP\\NNP', 'melaporkan\\VB', 'stadion\\NN', 'tinju\\NN', 'dan\\CC', 'hockey\\FW', 'mendapatkan\\VB']","['karena\\SC', 'sering\\RB', 'diserbu\\VB', 'monyet.\\NN', 'Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD']"
33,monyet.\NN,1,NN,OTHER,True,"['stadion\\NN', 'tinju\\NN', 'dan\\CC', 'hockey\\FW', 'mendapatkan\\VB', 'perhatian\\NN', 'khusus\\JJ', 'karena\\SC', 'sering\\RB', 'diserbu\\VB']","['Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN']"
34,Monyet\NN besar\JJ,2,NN,PERSON|OTHER,True,"['tinju\\NN', 'dan\\CC', 'hockey\\FW', 'mendapatkan\\VB', 'perhatian\\NN', 'khusus\\JJ', 'karena\\SC', 'sering\\RB', 'diserbu\\VB', 'monyet.\\NN']","['akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil\\JJ']"
35,dua\CD stadion\NN,2,CD,NUM,True,"['khusus\\JJ', 'karena\\SC', 'sering\\RB', 'diserbu\\VB', 'monyet.\\NN', 'Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN']","['untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil\\JJ', '""\\Z', 'Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB']"
36,monyet\NN kecil\JJ,2,NN,OTHER,True,"['Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN']","['""\\Z', 'Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'tersebut\\PR', 'untuk\\SC']"
37,Monyet\NN besar\JJ,2,NN,ORGANIZATION|OTHER,True,"['dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil\\JJ', '""\\Z']","['akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'tersebut\\PR', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN']"
38,dua\CD stadion\NN tersebut\PR,3,CD,FACILITY|OTHER,True,"['mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil\\JJ', '""\\Z', 'Monyet\\NN', 'besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN']","['untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil,\\JJ', '""\\Z', 'kata\\VB', 'Devender\\NNP', 'Prasad,\\NNP', 'pejabat\\NN']"
39,"monyet\NN kecil,\JJ",2,NN,THINGS,True,"['besar\\JJ', 'akan\\MD', 'dikerahkan\\VB', 'di\\IN', 'dua\\CD', 'stadion\\NN', 'tersebut\\PR', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN']","['""\\Z', 'kata\\VB', 'Devender\\NNP', 'Prasad,\\NNP', 'pejabat\\NN', 'pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'kepada\\IN', 'kantor\\NNP']"
40,"Devender\NNP Prasad,\NNP",2,NNP,PERSON|OTHER,True,"['dua\\CD', 'stadion\\NN', 'tersebut\\PR', 'untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil,\\JJ', '""\\Z', 'kata\\VB']","['pejabat\\NN', 'pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'kepada\\IN', 'kantor\\NNP', 'berita\\NNP', 'AFP.\\NNP', 'Selama\\IN', 'bertahun-tahun\\CD']"
41,pemerintah\NNP kota\NNP Delhi\NNP,3,NNP,OTHER|LOCATION,False,"['untuk\\SC', 'mengusir\\VB', 'serbuan\\NN', 'monyet\\NN', 'kecil,\\JJ', '""\\Z', 'kata\\VB', 'Devender\\NNP', 'Prasad,\\NNP', 'pejabat\\NN']","['kepada\\IN', 'kantor\\NNP', 'berita\\NNP', 'AFP.\\NNP', 'Selama\\IN', 'bertahun-tahun\\CD', 'monyet\\NN', 'mengganggu\\VB', 'warga\\NN', 'Delhi.\\NNP']"
42,kantor\NNP berita\NNP AFP.\NNP,3,NNP,ORGANIZATION|OTHER,False,"['kecil,\\JJ', '""\\Z', 'kata\\VB', 'Devender\\NNP', 'Prasad,\\NNP', 'pejabat\\NN', 'pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'kepada\\IN']","['Selama\\IN', 'bertahun-tahun\\CD', 'monyet\\NN', 'mengganggu\\VB', 'warga\\NN', 'Delhi.\\NNP', 'Binatang\\NN', 'ini\\PR', 'menaiki\\VB', 'kereta\\NN']"
43,bertahun-tahun\CD,1,CD,OTHER,True,"['Prasad,\\NNP', 'pejabat\\NN', 'pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'kepada\\IN', 'kantor\\NNP', 'berita\\NNP', 'AFP.\\NNP', 'Selama\\IN']","['monyet\\NN', 'mengganggu\\VB', 'warga\\NN', 'Delhi.\\NNP', 'Binatang\\NN', 'ini\\PR', 'menaiki\\VB', 'kereta\\NN', 'metro\\NN', 'dan\\CC']"
44,monyet\NN,1,NN,OTHER,False,"['pejabat\\NN', 'pemerintah\\NNP', 'kota\\NNP', 'Delhi\\NNP', 'kepada\\IN', 'kantor\\NNP', 'berita\\NNP', 'AFP.\\NNP', 'Selama\\IN', 'bertahun-tahun\\CD']","['mengganggu\\VB', 'warga\\NN', 'Delhi.\\NNP', 'Binatang\\NN', 'ini\\PR', 'menaiki\\VB', 'kereta\\NN', 'metro\\NN', 'dan\\CC', 'bahkan\\RB']"
45,warga\NN Delhi.\NNP,2,NN,OTHER,True,"['kota\\NNP', 'Delhi\\NNP', 'kepada\\IN', 'kantor\\NNP', 'berita\\NNP', 'AFP.\\NNP', 'Selama\\IN', 'bertahun-tahun\\CD', 'monyet\\NN', 'mengganggu\\VB']","['Binatang\\NN', 'ini\\PR', 'menaiki\\VB', 'kereta\\NN', 'metro\\NN', 'dan\\CC', 'bahkan\\RB', 'berkeliaran\\VB', 'di\\IN', 'kompleks\\NN']"
46,Binatang\NN ini\PR,2,NN,OTHER,False,"['kepada\\IN', 'kantor\\NNP', 'berita\\NNP', 'AFP.\\NNP', 'Selama\\IN', 'bertahun-tahun\\CD', 'monyet\\NN', 'mengganggu\\VB', 'warga\\NN', 'Delhi.\\NNP']","['menaiki\\VB', 'kereta\\NN', 'metro\\NN', 'dan\\CC', 'bahkan\\RB', 'berkeliaran\\VB', 'di\\IN', 'kompleks\\NN', 'gedung\\NN', 'parlemen.\\NN']"
47,kereta\NN metro\NN,2,NN,OTHER,True,"['AFP.\\NNP', 'Selama\\IN', 'bertahun-tahun\\CD', 'monyet\\NN', 'mengganggu\\VB', 'warga\\NN', 'Delhi.\\NNP', 'Binatang\\NN', 'ini\\PR', 'menaiki\\VB']","['dan\\CC', 'bahkan\\RB', 'berkeliaran\\VB', 'di\\IN', 'kompleks\\NN', 'gedung\\NN', 'parlemen.\\NN', 'Belum\\NEG', 'lama\\JJ', 'ini\\PR']"
48,kompleks\NN gedung\NN parlemen.\NN,3,NN,OTHER|FACILITY,True,"['Delhi.\\NNP', 'Binatang\\NN', 'ini\\PR', 'menaiki\\VB', 'kereta\\NN', 'metro\\NN', 'dan\\CC', 'bahkan\\RB', 'berkeliaran\\VB', 'di\\IN']","['Belum\\NEG', 'lama\\JJ', 'ini\\PR', 'kawanan\\NN', 'monyet\\NN', 'menyerbu\\VB', 'kantor\\NN', 'perdana\\NN', 'menteri\\NN', 'dan\\CC']"
49,kawanan\NN monyet\NN,2,NN,OTHER,True,"['dan\\CC', 'bahkan\\RB', 'berkeliaran\\VB', 'di\\IN', 'kompleks\\NN', 'gedung\\NN', 'parlemen.\\NN', 'Belum\\NEG', 'lama\\JJ', 'ini\\PR']","['menyerbu\\VB', 'kantor\\NN', 'perdana\\NN', 'menteri\\NN', 'dan\\CC', 'departemen\\NN', 'pertahanan.\\NN', 'Binatang\\NN', 'ini\\PR', 'tidak\\NEG']"
50,kantor\NN perdana\NN menteri\NN,3,NN,OTHER|TITLE,True,"['di\\IN', 'kompleks\\NN', 'gedung\\NN', 'parlemen.\\NN', 'Belum\\NEG', 'lama\\JJ', 'ini\\PR', 'kawanan\\NN', 'monyet\\NN', 'menyerbu\\VB']","['dan\\CC', 'departemen\\NN', 'pertahanan.\\NN', 'Binatang\\NN', 'ini\\PR', 'tidak\\NEG', 'bisa\\MD', 'dibunuh\\VB', 'karena\\SC', 'masyarakat\\NN']"
51,departemen\NN pertahanan.\NN,2,NN,ORGANIZATION|OTHER,True,"['Belum\\NEG', 'lama\\JJ', 'ini\\PR', 'kawanan\\NN', 'monyet\\NN', 'menyerbu\\VB', 'kantor\\NN', 'perdana\\NN', 'menteri\\NN', 'dan\\CC']","['Binatang\\NN', 'ini\\PR', 'tidak\\NEG', 'bisa\\MD', 'dibunuh\\VB', 'karena\\SC', 'masyarakat\\NN', 'India\\NNP', 'menganggap\\VB', 'mereka\\PRP']"
52,Binatang\NN ini\PR,2,NN,OTHER,False,"['ini\\PR', 'kawanan\\NN', 'monyet\\NN', 'menyerbu\\VB', 'kantor\\NN', 'perdana\\NN', 'menteri\\NN', 'dan\\CC', 'departemen\\NN', 'pertahanan.\\NN']","['tidak\\NEG', 'bisa\\MD', 'dibunuh\\VB', 'karena\\SC', 'masyarakat\\NN', 'India\\NNP', 'menganggap\\VB', 'mereka\\PRP', 'suci.\\JJ', 'Selain\\CC']"
53,masyarakat\NN India\NNP,2,NN,OTHER|LOCATION,True,"['menteri\\NN', 'dan\\CC', 'departemen\\NN', 'pertahanan.\\NN', 'Binatang\\NN', 'ini\\PR', 'tidak\\NEG', 'bisa\\MD', 'dibunuh\\VB', 'karena\\SC']","['menganggap\\VB', 'mereka\\PRP', 'suci.\\JJ', 'Selain\\CC', 'harus\\MD', 'mengusir\\VB', 'kawanan\\NN', 'monyet,\\NN', 'pemkot\\NNP', 'Delhi\\NNP']"
54,mereka\PRP,1,PRP,OTHER,False,"['pertahanan.\\NN', 'Binatang\\NN', 'ini\\PR', 'tidak\\NEG', 'bisa\\MD', 'dibunuh\\VB', 'karena\\SC', 'masyarakat\\NN', 'India\\NNP', 'menganggap\\VB']","['suci.\\JJ', 'Selain\\CC', 'harus\\MD', 'mengusir\\VB', 'kawanan\\NN', 'monyet,\\NN', 'pemkot\\NNP', 'Delhi\\NNP', 'juga\\RB', 'kesulitan\\VB']"
55,"kawanan\NN monyet,\NN",2,NN,OTHER,True,"['dibunuh\\VB', 'karena\\SC', 'masyarakat\\NN', 'India\\NNP', 'menganggap\\VB', 'mereka\\PRP', 'suci.\\JJ', 'Selain\\CC', 'harus\\MD', 'mengusir\\VB']","['pemkot\\NNP', 'Delhi\\NNP', 'juga\\RB', 'kesulitan\\VB', 'mengatasi\\VB', 'wabah\\NN', 'demam\\NN', 'berdarah.\\NN', 'Curah\\NN', 'hujan\\NN']"
56,pemkot\NNP Delhi\NNP,2,NNP,OTHER|LOCATION,False,"['masyarakat\\NN', 'India\\NNP', 'menganggap\\VB', 'mereka\\PRP', 'suci.\\JJ', 'Selain\\CC', 'harus\\MD', 'mengusir\\VB', 'kawanan\\NN', 'monyet,\\NN']","['juga\\RB', 'kesulitan\\VB', 'mengatasi\\VB', 'wabah\\NN', 'demam\\NN', 'berdarah.\\NN', 'Curah\\NN', 'hujan\\NN', 'yang\\SC', 'tinggi\\JJ']"
57,wabah\NN demam\NN berdarah.\NN,3,NN,TITLE|OTHER,True,"['Selain\\CC', 'harus\\MD', 'mengusir\\VB', 'kawanan\\NN', 'monyet,\\NN', 'pemkot\\NNP', 'Delhi\\NNP', 'juga\\RB', 'kesulitan\\VB', 'mengatasi\\VB']","['Curah\\NN', 'hujan\\NN', 'yang\\SC', 'tinggi\\JJ', 'menyebabkan\\VB', 'banyak\\CD', 'genangan,\\NN', 'tempat\\NN', 'ideal\\JJ', 'bagi\\IN']"
58,Curah\NN hujan\NN,2,NN,OTHER,True,"['kawanan\\NN', 'monyet,\\NN', 'pemkot\\NNP', 'Delhi\\NNP', 'juga\\RB', 'kesulitan\\VB', 'mengatasi\\VB', 'wabah\\NN', 'demam\\NN', 'berdarah.\\NN']","['yang\\SC', 'tinggi\\JJ', 'menyebabkan\\VB', 'banyak\\CD', 'genangan,\\NN', 'tempat\\NN', 'ideal\\JJ', 'bagi\\IN', 'nyamuk\\NN', 'aedes\\NNP']"
